,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
5423,4,1.0,1.0,2.0,85.0,2,7,3
1085,5,3.0,2.0,3.0,230.0,5,21,0
1845,6,2.0,1.0,3.0,89.0,4,14,85
7183,2,1.0,1.0,1.0,80.0,1,1125,0
807,4,1.0,1.0,2.0,100.0,2,7,77
4210,3,1.0,1.0,1.0,40.0,3,1124,16
2326,2,0.0,1.0,1.0,185.0,3,365,4
2399,2,1.0,1.0,1.0,104.0,2,1125,0
3340,2,2.0,2.0,2.0,150.0,12,100,12
979,2,1.0,1.0,0.0,69.0,4,15,4
6202,4,2.0,1.0,2.0,92.0,2,1125,11
5053,2,1.0,1.0,1.0,50.0,1,1125,0
2254,3,1.0,1.0,2.0,85.0,3,10,34
5243,4,1.0,1.0,1.0,95.0,5,1125,0
2988,2,0.0,1.0,1.0,80.0,3,365,40
7163,2,0.0,1.0,1.0,69.0,14,1125,12
909,2,1.0,1.0,1.0,50.0,3,13,8
1800,2,1.0,1.0,1.0,130.0,4,10,0
824,2,1.0,1.0,0.0,66.0,2,30,90
3185,2,1.0,1.0,1.0,160.0,1,1125,0
1222,1,1.0,1.0,1.0,65.0,5,21,17
4847,3,1.0,1.0,2.0,65.0,2,30,1
946,2,2.0,1.0,1.0,79.0,3,60,52
6462,2,1.0,1.0,1.0,150.0,7,1125,0
1688,5,1.0,1.0,3.0,109.0,3,364,197
410,4,2.0,2.0,2.0,230.0,2,180,16
788,1,1.0,1.0,1.0,120.0,4,21,2
7589,2,1.0,1.0,1.0,450.0,14,1125,1
7268,2,1.0,1.0,1.0,78.0,3,1120,0
4536,2,1.0,1.0,1.0,50.0,1,1125,28
20,2,1.0,1.0,1.0,78.0,5,9,339
168,4,1.0,1.0,2.0,95.0,1,30,239
3172,2,0.0,1.0,1.0,57.0,15,90,46
5990,7,3.0,2.0,5.0,299.0,5,1125,88
6394,8,4.0,4.5,5.0,600.0,2,90,83
5592,1,0.0,1.0,1.0,35.0,3,5,6
7706,1,0.0,1.0,1.0,29.0,4,1125,0
6134,4,1.0,1.0,2.0,100.0,2,1125,8
7707,2,0.0,1.0,1.0,50.0,1,1125,22
792,4,2.0,1.0,3.0,90.0,3,15,48
2499,2,1.0,1.0,1.0,121.0,7,1125,6
2588,4,1.0,1.0,2.0,90.0,3,1125,54
5430,2,1.0,1.0,1.0,70.0,1,1125,0
